湖北频道,#genre#
湖北经视,http://113.83.248.110:4200/rtp/239.77.0.114:5146$1920x1080
湖北经济,http://113.83.248.110:4200/rtp/239.77.0.114:5146$1920x1080
武汉一台新闻综合,http://113.83.248.110:4200/rtp/239.77.0.114:5146$1920x1080

央视频道,#genre#
CCTV-1,http://113.83.248.110:4200/rtp/239.77.0.129:5146$1920x1080
CCTV-2,http://113.87.227.200:5000/rtp/239.253.43.17:5146$1920x1080
CCTV-3,http://113.83.248.110:4200/rtp/239.77.0.169:5146$1920x1080
CCTV-4,http://113.83.248.110:4200/rtp/239.77.1.166:5146$1920x1080
CCTV-5,http://113.83.248.110:4200/rtp/239.77.0.170:5146$1920x1080
CCTV-5+,http://113.87.227.200:5000/rtp/239.77.0.87:5146$1920x1080
CCTV-6,http://113.87.227.200:5000/rtp/239.77.0.178:5146$1920x1080
CCTV-7,http://113.87.227.200:5000/rtp/239.77.1.167:5146$1920x1080
CCTV-8,http://113.83.248.110:4200/rtp/239.77.0.172:5146$1920x1080
CCTV-9,http://113.83.248.110:4200/rtp/239.77.1.160:5146$1920x1080
CCTV-10,http://113.66.41.152:10000/rtp/239.77.1.169:5146$1920x1080
CCTV-11,http://113.83.248.110:4200/rtp/239.77.1.238:5146$1920x1080
CCTV-12,http://113.83.248.110:4200/rtp/239.77.1.109:5146$1920x1080
CCTV-13,http://113.83.248.110:4200/rtp/239.77.0.188:5146$1920x1080
CCTV-14,http://113.83.248.110:4200/rtp/239.77.1.161:5146$1920x1080
CCTV-15,http://113.83.248.110:4200/rtp/239.77.1.239:5146$1920x1080
CCTV-16,http://113.83.248.110:4200/rtp/239.77.1.98:5146$3840x2160
CCTV-17,http://113.83.248.110:4200/rtp/239.77.0.198:5146$1920x1080
