广东频道,#genre#
湖北经视,http://219.147.3.106:4455/newlive/live/hls/25/live.m3u8
湖北卫视,http://219.147.3.106:4455/newlive/live/hls/25/live.m3u8
央视频道,#genre#
CCTV1,http://14.117.233.245:9000/udp/239.77.0.188:5146
CCTV2,http://112.114.137.121:888/hls/2/index.m3u8
CCTV3,http://114.100.195.107:4022/rtp/238.1.78.170:7232
CCTV4,http://lu1.cc/itv/php/cctv4k.php
CCTV5,http://114.249.19.38:4022/rtp/239.3.1.173:8001
CCTV5+,http://114.249.19.38:4022/rtp/239.3.1.173:8001
CCTV6,http://117.141.149.101:4431/tsfile/live/faacts/0006_1.m3u8
CCTV7,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://220.178.185.92:4022/rtp/238.1.78.173:7256
CCTV9,http://121.24.99.52:8090/hls/17/index.m3u8
CCTV10,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8
CCTV11,http://xxw.me0.cn/api/migu.php?id=14
CCTV12,http://xxw.me0.cn/api/migu.php?id=15
CCTV13,http://14.117.233.245:9000/udp/239.77.0.188:5146
CCTV14,http://222.240.82.92:9901/tsfile/live/0014_1.m3u8
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17,http://xxw.me0.cn/api/migu.php?id=19
